[2025-10-31 01:30:24] 📜 Logger initialized. Logs will be saved to ./checkpoint/model_20251031_013024/train.log
[2025-10-31 01:30:27] 💾 Best model saved at epoch 10 (Val Loss=0.356526)
[2025-10-31 01:30:28] [Epoch 011] Train Loss: 0.465161 | Val Loss: 0.336999
[2025-10-31 01:30:28] 💾 Best model saved at epoch 11 (Val Loss=0.336999)
[2025-10-31 01:30:28] [Epoch 012] Train Loss: 0.371334 | Val Loss: 0.315912
[2025-10-31 01:30:28] 💾 Best model saved at epoch 12 (Val Loss=0.315912)
[2025-10-31 01:30:28] [Epoch 013] Train Loss: 0.437730 | Val Loss: 0.290407
[2025-10-31 01:30:28] 💾 Best model saved at epoch 13 (Val Loss=0.290407)
[2025-10-31 01:30:28] [Epoch 014] Train Loss: 0.367223 | Val Loss: 0.271134
[2025-10-31 01:30:28] 💾 Best model saved at epoch 14 (Val Loss=0.271134)
[2025-10-31 01:30:29] [Epoch 015] Train Loss: 0.318438 | Val Loss: 0.260504
[2025-10-31 01:30:29] 💾 Best model saved at epoch 15 (Val Loss=0.260504)
[2025-10-31 01:30:29] [Epoch 016] Train Loss: 0.280550 | Val Loss: 0.237168
[2025-10-31 01:30:29] 💾 Best model saved at epoch 16 (Val Loss=0.237168)
[2025-10-31 01:30:29] [Epoch 017] Train Loss: 0.276042 | Val Loss: 0.218470
[2025-10-31 01:30:29] 💾 Best model saved at epoch 17 (Val Loss=0.218470)
[2025-10-31 01:30:29] [Epoch 018] Train Loss: 0.251254 | Val Loss: 0.208926
[2025-10-31 01:30:29] 💾 Best model saved at epoch 18 (Val Loss=0.208926)
[2025-10-31 01:30:30] [Epoch 019] Train Loss: 0.226985 | Val Loss: 0.193432
[2025-10-31 01:30:30] 💾 Best model saved at epoch 19 (Val Loss=0.193432)
[2025-10-31 01:30:30] [Epoch 020] Train Loss: 0.228270 | Val Loss: 0.177609
[2025-10-31 01:30:30] 💾 Best model saved at epoch 20 (Val Loss=0.177609)
[2025-10-31 01:30:30] [Epoch 021] Train Loss: 0.204053 | Val Loss: 0.165920
[2025-10-31 01:30:30] 💾 Best model saved at epoch 21 (Val Loss=0.165920)
[2025-10-31 01:30:30] [Epoch 022] Train Loss: 0.184657 | Val Loss: 0.156781
[2025-10-31 01:30:30] 💾 Best model saved at epoch 22 (Val Loss=0.156781)
[2025-10-31 01:30:30] [Epoch 023] Train Loss: 0.179155 | Val Loss: 0.140897
[2025-10-31 01:30:31] 💾 Best model saved at epoch 23 (Val Loss=0.140897)
[2025-10-31 01:30:31] [Epoch 024] Train Loss: 0.163656 | Val Loss: 0.125238
[2025-10-31 01:30:31] 💾 Best model saved at epoch 24 (Val Loss=0.125238)
[2025-10-31 01:30:31] [Epoch 025] Train Loss: 0.154765 | Val Loss: 0.117359
[2025-10-31 01:30:31] 💾 Best model saved at epoch 25 (Val Loss=0.117359)
[2025-10-31 01:30:31] [Epoch 026] Train Loss: 0.150098 | Val Loss: 0.109612
[2025-10-31 01:30:31] 💾 Best model saved at epoch 26 (Val Loss=0.109612)
[2025-10-31 01:30:32] [Epoch 027] Train Loss: 0.131937 | Val Loss: 0.103065
[2025-10-31 01:30:32] 💾 Best model saved at epoch 27 (Val Loss=0.103065)
[2025-10-31 01:30:32] [Epoch 028] Train Loss: 0.127458 | Val Loss: 0.095904
[2025-10-31 01:30:32] 💾 Best model saved at epoch 28 (Val Loss=0.095904)
[2025-10-31 01:30:32] [Epoch 029] Train Loss: 0.119913 | Val Loss: 0.090044
[2025-10-31 01:30:32] 💾 Best model saved at epoch 29 (Val Loss=0.090044)
[2025-10-31 01:30:32] [Epoch 030] Train Loss: 0.117161 | Val Loss: 0.087210
[2025-10-31 01:30:32] 💾 Best model saved at epoch 30 (Val Loss=0.087210)
[2025-10-31 01:30:33] [Epoch 031] Train Loss: 0.108946 | Val Loss: 0.079225
[2025-10-31 01:30:33] 💾 Best model saved at epoch 31 (Val Loss=0.079225)
[2025-10-31 01:30:33] [Epoch 032] Train Loss: 0.145142 | Val Loss: 0.075283
[2025-10-31 01:30:33] 💾 Best model saved at epoch 32 (Val Loss=0.075283)
[2025-10-31 01:30:33] [Epoch 033] Train Loss: 0.104064 | Val Loss: 0.069408
[2025-10-31 01:30:33] 💾 Best model saved at epoch 33 (Val Loss=0.069408)
[2025-10-31 01:30:33] [Epoch 034] Train Loss: 0.132277 | Val Loss: 0.064680
[2025-10-31 01:30:33] 💾 Best model saved at epoch 34 (Val Loss=0.064680)
[2025-10-31 01:30:34] [Epoch 035] Train Loss: 0.125900 | Val Loss: 0.063775
[2025-10-31 01:30:34] 💾 Best model saved at epoch 35 (Val Loss=0.063775)
[2025-10-31 01:30:34] [Epoch 036] Train Loss: 0.095180 | Val Loss: 0.059448
[2025-10-31 01:30:34] 💾 Best model saved at epoch 36 (Val Loss=0.059448)
[2025-10-31 01:30:34] [Epoch 037] Train Loss: 0.117031 | Val Loss: 0.059907
[2025-10-31 01:30:34] [Epoch 038] Train Loss: 0.079852 | Val Loss: 0.055115
[2025-10-31 01:30:34] 💾 Best model saved at epoch 38 (Val Loss=0.055115)
[2025-10-31 01:30:35] [Epoch 039] Train Loss: 0.077121 | Val Loss: 0.053676
[2025-10-31 01:30:35] 💾 Best model saved at epoch 39 (Val Loss=0.053676)
[2025-10-31 01:30:35] [Epoch 040] Train Loss: 0.078702 | Val Loss: 0.050718
[2025-10-31 01:30:35] 💾 Best model saved at epoch 40 (Val Loss=0.050718)
[2025-10-31 01:30:35] [Epoch 041] Train Loss: 0.070703 | Val Loss: 0.051577
[2025-10-31 01:30:35] [Epoch 042] Train Loss: 0.072012 | Val Loss: 0.049233
[2025-10-31 01:30:35] 💾 Best model saved at epoch 42 (Val Loss=0.049233)
[2025-10-31 01:30:36] [Epoch 043] Train Loss: 0.068251 | Val Loss: 0.049312
[2025-10-31 01:30:36] [Epoch 044] Train Loss: 0.066003 | Val Loss: 0.048234
[2025-10-31 01:30:36] 💾 Best model saved at epoch 44 (Val Loss=0.048234)
[2025-10-31 01:30:36] [Epoch 045] Train Loss: 0.064927 | Val Loss: 0.046386
[2025-10-31 01:30:36] 💾 Best model saved at epoch 45 (Val Loss=0.046386)
[2025-10-31 01:30:36] [Epoch 046] Train Loss: 0.062452 | Val Loss: 0.045650
[2025-10-31 01:30:36] 💾 Best model saved at epoch 46 (Val Loss=0.045650)
[2025-10-31 01:30:37] [Epoch 047] Train Loss: 0.064635 | Val Loss: 0.043725
[2025-10-31 01:30:37] 💾 Best model saved at epoch 47 (Val Loss=0.043725)
[2025-10-31 01:30:37] [Epoch 048] Train Loss: 0.083938 | Val Loss: 0.043554
[2025-10-31 01:30:37] 💾 Best model saved at epoch 48 (Val Loss=0.043554)
[2025-10-31 01:30:37] [Epoch 049] Train Loss: 0.056893 | Val Loss: 0.042588
[2025-10-31 01:30:37] 💾 Best model saved at epoch 49 (Val Loss=0.042588)
[2025-10-31 01:30:37] [Epoch 050] Train Loss: 0.056279 | Val Loss: 0.042187
[2025-10-31 01:30:37] 💾 Best model saved at epoch 50 (Val Loss=0.042187)
[2025-10-31 01:30:38] [Epoch 051] Train Loss: 0.056455 | Val Loss: 0.041624
[2025-10-31 01:30:38] 💾 Best model saved at epoch 51 (Val Loss=0.041624)
[2025-10-31 01:30:38] [Epoch 052] Train Loss: 0.058945 | Val Loss: 0.041332
[2025-10-31 01:30:38] 💾 Best model saved at epoch 52 (Val Loss=0.041332)
[2025-10-31 01:30:38] [Epoch 053] Train Loss: 0.052056 | Val Loss: 0.040700
[2025-10-31 01:30:38] 💾 Best model saved at epoch 53 (Val Loss=0.040700)
[2025-10-31 01:30:38] [Epoch 054] Train Loss: 0.055405 | Val Loss: 0.040631
[2025-10-31 01:30:39] 💾 Best model saved at epoch 54 (Val Loss=0.040631)
[2025-10-31 01:30:39] [Epoch 055] Train Loss: 0.050191 | Val Loss: 0.039553
[2025-10-31 01:30:39] 💾 Best model saved at epoch 55 (Val Loss=0.039553)
[2025-10-31 01:30:39] [Epoch 056] Train Loss: 0.069146 | Val Loss: 0.040191
[2025-10-31 01:30:39] [Epoch 057] Train Loss: 0.051520 | Val Loss: 0.039375
[2025-10-31 01:30:39] 💾 Best model saved at epoch 57 (Val Loss=0.039375)
[2025-10-31 01:30:40] [Epoch 058] Train Loss: 0.051905 | Val Loss: 0.039389
[2025-10-31 01:30:40] [Epoch 059] Train Loss: 0.047995 | Val Loss: 0.039483
[2025-10-31 01:30:40] [Epoch 060] Train Loss: 0.063644 | Val Loss: 0.038815
[2025-10-31 01:30:40] 💾 Best model saved at epoch 60 (Val Loss=0.038815)
[2025-10-31 01:30:40] [Epoch 061] Train Loss: 0.065622 | Val Loss: 0.039104
[2025-10-31 01:30:41] [Epoch 062] Train Loss: 0.043521 | Val Loss: 0.037858
[2025-10-31 01:30:41] 💾 Best model saved at epoch 62 (Val Loss=0.037858)
[2025-10-31 01:30:41] [Epoch 063] Train Loss: 0.041804 | Val Loss: 0.038434
[2025-10-31 01:30:41] [Epoch 064] Train Loss: 0.041605 | Val Loss: 0.037767
[2025-10-31 01:30:41] 💾 Best model saved at epoch 64 (Val Loss=0.037767)
[2025-10-31 01:30:41] [Epoch 065] Train Loss: 0.040894 | Val Loss: 0.037470
[2025-10-31 01:30:41] 💾 Best model saved at epoch 65 (Val Loss=0.037470)
[2025-10-31 01:30:42] [Epoch 066] Train Loss: 0.040003 | Val Loss: 0.036996
[2025-10-31 01:30:42] 💾 Best model saved at epoch 66 (Val Loss=0.036996)
[2025-10-31 01:30:42] [Epoch 067] Train Loss: 0.057883 | Val Loss: 0.036925
[2025-10-31 01:30:42] 💾 Best model saved at epoch 67 (Val Loss=0.036925)
[2025-10-31 01:30:42] [Epoch 068] Train Loss: 0.040123 | Val Loss: 0.037889
[2025-10-31 01:30:42] [Epoch 069] Train Loss: 0.052797 | Val Loss: 0.037042
[2025-10-31 01:30:42] [Epoch 070] Train Loss: 0.035893 | Val Loss: 0.037012
[2025-10-31 01:30:43] [Epoch 071] Train Loss: 0.035448 | Val Loss: 0.036334
[2025-10-31 01:30:43] 💾 Best model saved at epoch 71 (Val Loss=0.036334)
[2025-10-31 01:30:43] [Epoch 072] Train Loss: 0.052057 | Val Loss: 0.036532
[2025-10-31 01:30:43] [Epoch 073] Train Loss: 0.048397 | Val Loss: 0.036106
[2025-10-31 01:30:43] 💾 Best model saved at epoch 73 (Val Loss=0.036106)
[2025-10-31 01:30:43] [Epoch 074] Train Loss: 0.033721 | Val Loss: 0.036242
[2025-10-31 01:30:44] [Epoch 075] Train Loss: 0.048801 | Val Loss: 0.035754
[2025-10-31 01:30:44] 💾 Best model saved at epoch 75 (Val Loss=0.035754)
[2025-10-31 01:30:44] [Epoch 076] Train Loss: 0.034744 | Val Loss: 0.036396
[2025-10-31 01:30:44] [Epoch 077] Train Loss: 0.033597 | Val Loss: 0.035550
[2025-10-31 01:30:44] 💾 Best model saved at epoch 77 (Val Loss=0.035550)
[2025-10-31 01:30:44] [Epoch 078] Train Loss: 0.053184 | Val Loss: 0.036807
[2025-10-31 01:30:45] [Epoch 079] Train Loss: 0.033715 | Val Loss: 0.035861
[2025-10-31 01:30:45] [Epoch 080] Train Loss: 0.048098 | Val Loss: 0.035397
[2025-10-31 01:30:45] 💾 Best model saved at epoch 80 (Val Loss=0.035397)
[2025-10-31 01:30:45] [Epoch 081] Train Loss: 0.035782 | Val Loss: 0.035285
[2025-10-31 01:30:45] 💾 Best model saved at epoch 81 (Val Loss=0.035285)
[2025-10-31 01:30:45] [Epoch 082] Train Loss: 0.033006 | Val Loss: 0.036689
[2025-10-31 01:30:46] [Epoch 083] Train Loss: 0.029889 | Val Loss: 0.035647
[2025-10-31 01:30:46] [Epoch 084] Train Loss: 0.031175 | Val Loss: 0.035270
[2025-10-31 01:30:46] 💾 Best model saved at epoch 84 (Val Loss=0.035270)
[2025-10-31 01:30:46] [Epoch 085] Train Loss: 0.028784 | Val Loss: 0.035369
[2025-10-31 01:30:46] [Epoch 086] Train Loss: 0.040826 | Val Loss: 0.035566
[2025-10-31 01:30:46] [Epoch 087] Train Loss: 0.027218 | Val Loss: 0.035615
[2025-10-31 01:30:47] [Epoch 088] Train Loss: 0.026583 | Val Loss: 0.034601
[2025-10-31 01:30:47] 💾 Best model saved at epoch 88 (Val Loss=0.034601)
[2025-10-31 01:30:47] [Epoch 089] Train Loss: 0.026182 | Val Loss: 0.034967
[2025-10-31 01:30:47] [Epoch 090] Train Loss: 0.026897 | Val Loss: 0.034110
[2025-10-31 01:30:47] 💾 Best model saved at epoch 90 (Val Loss=0.034110)
[2025-10-31 01:30:47] [Epoch 091] Train Loss: 0.026613 | Val Loss: 0.033977
[2025-10-31 01:30:47] 💾 Best model saved at epoch 91 (Val Loss=0.033977)
[2025-10-31 01:30:48] [Epoch 092] Train Loss: 0.026111 | Val Loss: 0.034934
[2025-10-31 01:30:48] [Epoch 093] Train Loss: 0.035152 | Val Loss: 0.035063
[2025-10-31 01:30:48] [Epoch 094] Train Loss: 0.026193 | Val Loss: 0.034497
[2025-10-31 01:30:48] [Epoch 095] Train Loss: 0.023017 | Val Loss: 0.034803
[2025-10-31 01:30:49] [Epoch 096] Train Loss: 0.032872 | Val Loss: 0.034066
[2025-10-31 01:30:49] [Epoch 097] Train Loss: 0.022102 | Val Loss: 0.034411
[2025-10-31 01:30:49] [Epoch 098] Train Loss: 0.022178 | Val Loss: 0.033706
[2025-10-31 01:30:49] 💾 Best model saved at epoch 98 (Val Loss=0.033706)
[2025-10-31 01:30:49] [Epoch 099] Train Loss: 0.022063 | Val Loss: 0.034292
[2025-10-31 01:30:49] [Epoch 100] Train Loss: 0.020798 | Val Loss: 0.033218
[2025-10-31 01:30:49] 💾 Best model saved at epoch 100 (Val Loss=0.033218)
[2025-10-31 01:30:49] ✅ Training complete!
[2025-10-31 01:30:49] 🏆 Best Validation Loss: 0.033218
[2025-10-31 01:30:49] 🧾 Final checkpoint saved at: ./checkpoint/model_20251031_013024
